shear_layer 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
1            1.00000000e-02   0.00000000e+00   1.55017145e-04   0.00000000e+00  -8.67361738e-15   1.53740715e-17   1.71319899e+01
2            1.00000000e-02   1.00000000e-02   1.55093524e-04   1.43114687e-17  -2.47002939e-15   1.15140365e-17   1.71319899e+01 
3            1.00000000e-02   2.00000000e-02   1.55174963e-04   2.10335221e-17   1.37476835e-16   1.14772964e-17   1.71319899e+01 
4            1.00000000e-02   3.00000000e-02   1.55261471e-04   2.45029691e-17   3.00467116e-14  -1.98988156e-17   1.71319899e+01 
5            1.00000000e-02   4.00000000e-02   1.55353058e-04   3.51281504e-17   1.67331426e-14  -3.03152562e-17   1.71319899e+01 
6            1.00000000e-02   5.00000000e-02   1.55449733e-04   4.29344060e-17  -2.24438523e-14  -5.96284725e-18   1.71319899e+01 
7            1.00000000e-02   6.00000000e-02   1.55551504e-04   4.35849273e-17   4.60525715e-15  -7.00072731e-19   1.71319899e+01 
8            1.00000000e-02   7.00000000e-02   1.55658379e-04   5.57279917e-17  -6.11511709e-15  -3.54848571e-18   1.71319899e+01 
9            1.00000000e-02   8.00000000e-02   1.55770364e-04   6.04984812e-17  -1.38561038e-15  -4.79509984e-18   1.71319899e+01 
10           1.00000000e-02   9.00000000e-02   1.55887467e-04   7.15573434e-17  -9.21853739e-15  -8.44211269e-18   1.71319899e+01 
11           1.00000000e-02   1.00000000e-01   1.56009693e-04   8.04478012e-17   1.35416851e-15  -4.13656481e-18   1.71319899e+01 
12           1.00000000e-02   1.10000000e-01   1.56137048e-04   8.79016911e-17  -3.85629029e-15  -4.78620202e-17   1.71319899e+01 
13           1.00000000e-02   1.20000000e-01   1.56269536e-04   9.82016118e-17   1.14617517e-14   8.63655969e-19   1.71319899e+01 
14           1.00000000e-02   1.30000000e-01   1.56407161e-04   1.06495758e-16  -1.39029413e-14   1.15373299e-17   1.71319899e+01 
15           1.00000000e-02   1.40000000e-01   1.56549928e-04   1.10940987e-16   1.73125403e-15  -2.88514245e-17   1.71319899e+01 
16           1.00000000e-02   1.50000000e-01   1.56697839e-04   1.18693033e-16  -2.43667933e-14  -3.34803537e-17   1.71319899e+01 
17           1.00000000e-02   1.60000000e-01   1.56850896e-04   1.28044277e-16   1.39523809e-14   1.45958600e-17   1.71319899e+01 
18           1.00000000e-02   1.70000000e-01   1.57009102e-04   1.34766330e-16  -4.18371934e-15  -1.21760986e-18   1.71319899e+01 
19           1.00000000e-02   1.80000000e-01   1.57172457e-04   1.42247325e-16  -1.70365024e-14  -4.12369520e-17   1.71319899e+01 
20           1.00000000e-02   1.90000000e-01   1.57340961e-04   1.50216211e-16   6.70297151e-15  -1.72837073e-17   1.71319899e+01 
21           1.00000000e-02   2.00000000e-01   1.57514615e-04   1.58591673e-16   1.48470646e-15   1.72203916e-17   1.71319899e+01 
22           1.00000000e-02   2.10000000e-01   1.57693418e-04   1.65205306e-16   1.70349845e-14  -1.07825177e-17   1.71319899e+01 
23           1.00000000e-02   2.20000000e-01   1.57877369e-04   1.73255507e-16   1.75168040e-14  -1.44573701e-17   1.71319899e+01 
24           1.00000000e-02   2.30000000e-01   1.58066465e-04   1.80546767e-16  -3.04827778e-14  -2.15993402e-17   1.71319899e+01 
25           1.00000000e-02   2.40000000e-01   1.58260704e-04   1.86509879e-16  -1.52978758e-14  -1.98929923e-17   1.71319899e+01 
26           1.00000000e-02   2.50000000e-01   1.58460082e-04   1.94180609e-16   6.57243357e-16   2.99604024e-17   1.71319899e+01 
27           1.00000000e-02   2.60000000e-01   1.58664595e-04   2.03043962e-16   2.53096155e-15  -1.12356803e-17   1.71319899e+01 
28           1.00000000e-02   2.70000000e-01   1.58874239e-04   2.12151260e-16   4.13254500e-15  -9.21571847e-19   1.71319899e+01 
29           1.00000000e-02   2.80000000e-01   1.59089009e-04   2.20662247e-16   5.93318797e-15   6.50965996e-18   1.71319899e+01 
30           1.00000000e-02   2.90000000e-01   1.59308897e-04   2.25920628e-16  -8.15601926e-15  -2.18058044e-17   1.71319899e+01 
31           1.00000000e-02   3.00000000e-01   1.59533898e-04   2.33997934e-16   1.96674274e-16  -6.38895776e-18   1.71319899e+01 
32           1.00000000e-02   3.10000000e-01   1.59764004e-04   2.38822634e-16  -4.94764819e-15  -2.62487040e-17   1.71319899e+01 
33           1.00000000e-02   3.20000000e-01   1.59999206e-04   2.47306516e-16  -9.68409380e-16  -9.84548746e-18   1.71319899e+01 
34           1.00000000e-02   3.30000000e-01   1.60239497e-04   2.53188312e-16  -3.73182388e-16   1.76479315e-18   1.71319899e+01 
35           1.00000000e-02   3.40000000e-01   1.60484865e-04   2.58853269e-16   9.31221246e-15  -1.99488965e-17   1.71319899e+01 
36           1.00000000e-02   3.50000000e-01   1.60735301e-04   2.65195851e-16   2.02303452e-14  -1.47887717e-17   1.71319899e+01 
37           1.00000000e-02   3.60000000e-01   1.60990794e-04   2.74438675e-16  -7.28215231e-15  -3.11326960e-18   1.71319899e+01 
38           1.00000000e-02   3.70000000e-01   1.61251331e-04   2.81973880e-16   1.43331527e-16  -1.64074517e-17   1.71319899e+01 
39           1.00000000e-02   3.80000000e-01   1.61516900e-04   2.89454875e-16   4.23749577e-15  -1.60402629e-17   1.71319899e+01 
40           1.00000000e-02   3.90000000e-01   1.61787487e-04   2.97749022e-16  -6.54185907e-15  -4.03937307e-17   1.71319899e+01 
41           1.00000000e-02   4.00000000e-01   1.62063079e-04   3.07750787e-16   1.16005296e-14  -1.63562062e-18   1.71319899e+01 
42           1.00000000e-02   4.10000000e-01   1.62343659e-04   3.11057603e-16  -1.31537576e-14  -7.55383982e-18   1.71319899e+01 
43           1.00000000e-02   4.20000000e-01   1.62629213e-04   3.18375968e-16   1.10512727e-14  -7.16589873e-19   1.71319899e+01 
44           1.00000000e-02   4.30000000e-01   1.62919722e-04   3.25369072e-16  -3.48462578e-15  -1.71303943e-17   1.71319899e+01 
45           1.00000000e-02   4.40000000e-01   1.63215171e-04   3.33012697e-16   1.29640222e-14  -2.15569885e-17   1.71319899e+01 
46           1.00000000e-02   4.50000000e-01   1.63515539e-04   3.37728977e-16  -9.32977653e-15  -4.20501036e-17   1.71319899e+01 
47           1.00000000e-02   4.60000000e-01   1.63820808e-04   3.48299948e-16   4.65903358e-15  -5.32021394e-18   1.71319899e+01 
48           1.00000000e-02   4.70000000e-01   1.64130958e-04   3.55835153e-16  -1.64536353e-14  -1.35626916e-17   1.71319899e+01 
49           1.00000000e-02   4.80000000e-01   1.64445967e-04   3.63858249e-16  -3.27429056e-15   5.16139526e-18   1.71319899e+01 
50           1.00000000e-02   4.90000000e-01   1.64765814e-04   3.70471882e-16   1.71273586e-14  -2.59213258e-17   1.71319899e+01 
51           1.00000000e-02   5.00000000e-01   1.65090474e-04   3.80771803e-16  -1.51983461e-14  -1.26051208e-17   1.71319899e+01 
52           1.00000000e-02   5.10000000e-01   1.65419925e-04   3.88523849e-16  -2.68556878e-15  -4.78997132e-19   1.71319899e+01 
53           1.00000000e-02   5.20000000e-01   1.65754142e-04   3.94920641e-16   8.10289336e-15   1.77838802e-17   1.71319899e+01 
54           1.00000000e-02   5.30000000e-01   1.66093098e-04   4.04298990e-16  -3.99333344e-15  -2.29672984e-18   1.71319899e+01 
55           1.00000000e-02   5.40000000e-01   1.66436767e-04   4.09557371e-16  -2.18672736e-14  -1.11935404e-17   1.71319899e+01 
56           1.00000000e-02   5.50000000e-01   1.66785121e-04   4.17743097e-16  -1.22159227e-14  -1.68275800e-17   1.71319899e+01 
57           1.00000000e-02   5.60000000e-01   1.67138131e-04   4.24573571e-16   7.29017541e-15  -2.77017890e-17   1.71319899e+01 
